cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
intravenous administration,formulation,pharmacokinetics,quality_outcome,prevents,2,2,high,"In contrast, antibody given i.v. showed no significant accumulation in lymph nodes at any time after dosing."
agitation stress,stress,lyophilized stability,stability,induces,2,1,high,Shaking stress could cause protein degradation in freeze-dried mAb-X formulations
igg1,structure,half-life,stability,decreases,2,2,high,"Generally, IgG1 isotype has a longer half-life (beta-clearance) in humans than IgG3."
pneumatic tube transport,stress,agitation stress,stress,increases,2,2,high,PTS transportation showed substantially more intense ... shock... measured levels were up to 91 G/force
shear stress,stress,reversible self-association,stability,induces,2,2,high,prolonged exposure to shear in the stainless steel parallel-plate rheometer caused a very minor reversible aggregation (
deamidation,stability,potency,quality_outcome,decreases,2,2,high,Hydrolysis of the succinimide resulted in a further drop in potency
polystyrene surface,formulation,binding activity,stability,decreases,2,1,high,antitheophylline antibody adsorbed on polystyrene balls loses almost 90% of its binding activity after 65 h
stainless steel surface,stress,adsorption,structure,adsorbs,2,2,high,the firmly bound first layer of protein that adsorbs to the stainless steel surface
stainless steel microparticles,stress,aggregation,stability,promotes,2,2,high,Stainless steel microparticles can cause the aggregation of a monoclonal antibody (mAb).
photodegradation,structure,oxidative stress,stability,induces,2,2,high,"initial formation of ROS, most likely after direct reaction of molecular oxygen with a triplet state photosensitizer"
light exposure,stress,hmw species,stability,increases,2,2,high,PBS containing mAb that was subjected to UV light stress showed change in HMW by >10 % over 72 h.
storage temperature,stress,drug substance stability,stability,stabilizes,2,1,high,TUR01 DS was stable when it was stored under long-term storage conditions at <=-65 degrees C
pro-169,sequence,glycan content,sequence,correlates,2,1,high,PRO-169 had more content of G1F
vilobelimab treatment,sequence,treatment-emergent antidrug antibodies,quality_outcome,prevents,2,1,medium,There was no evidence of immunogenicity associated with vilobelimab treatment
oligomerization,stability,reversible self-association,quality_outcome,correlates,2,2,high,"the appearance of significant amounts of a noncovalent, reversible dimer were observed"
concentration,formulation,air-water interface,quality_outcome,increases,2,2,high,the number of protein particles measured at the interface showed a logarithmic dependence on bulk protein concentration
high concentration,formulation,biological activity,quality_outcome,inhibits,2,2,high,Cetuximab induced a direct growth inhibition but only at high concentrations
freeze-thaw cycles,stress,binding activity,quality_outcome,stabilizes,2,2,high,"reactivity of mAbs 4F9, g62 and 1D4 was not diminished after 12 freeze/thaw cycles"
storage temperature,stress,plasma stability,stability,stabilizes,2,2,high,Trastuzumab in plasma was stable for ... 72 h at 4 degrees C
glycan,structure,clearance,stability,correlates,2,2,high,Different glycans in the Fc region showed the same clearance rate as demonstrated previously
half-life,stability,biological activity,quality_outcome,correlates,2,2,high,These data ... provide the basis for the pronounced specificity and antitumor activity of cAC10-valine-citrulline-MMAE
shear stress,stress,protein unfolding,structure,does not induce,2,2,high,forces applied to a protein by production shear exposures (<0.06 pN) are small when compared with ... forces required to
polysorbate 20,formulation,in-use stability,stability,destabilizes,2,1,medium,in-use stability of the IV admixture prepared ... might be impacted by decreasing levels of polysorbate 20.
"stress conditions during bioprocessing, transportation, and storage",stress,aggregation,stability,promotes,2,2,high,various stress conditions related to antibody upstream and downstream bioprocesses can trigger aggregation
binding affinity,structure,particle formation,structure,binds,2,2,high,The strong affinity between the fragment crystallizable (Fc) region of aPDL1 and the Fc-III-4C peptide enabled ... to se
antidrug antibodies,quality_outcome,immunogenicity,quality_outcome,inhibits,2,2,high,no neutralizing antibodies to cemiplimab were detected in patients with ADA-positive samples
glycosylation,sequence,complement-dependent cytotoxicity (CDC),quality_outcome,modifies,2,2,high,terminal galactose residues of mAbs can affect ... complement-dependent cytolysis (CDC) activation
pharmacokinetics,quality_outcome,bioavailability,quality_outcome,correlates,2,2,high,T ... displays a negligible correlation with bioavailability
stress conditions,stress,protein stability,stability,modifies,2,1,high,"impact of physical, chemical, and mechanical stresses on protein stability"
degradation,stability,fragments,stability,fragments,2,2,high,main adalimumab degradation products to be antibody fragments
immunogenicity,quality_outcome,poorer clinical outcome,quality_outcome,promotes,2,2,high,CONCLUSION: Immunogenicity plays a role in adalimumab treatment because of the development of ATAs.
immunogenicity,quality_outcome,nonresponse to adalimumab,quality_outcome,correlates,2,1,high,The presence of ATAs was related to nonresponse to adalimumab (P = 0.006).
deamidation,stability,molecular weight increase of 1 da,quality_outcome,modifies,2,2,high,deamidation that occurred prior to and during sample preparation resulted in peptides ... the same molecular weight incr
amino acid sequence,sequence,melting temperature,stability,modifies,2,2,high,"the apparent melting temperatures were found to vary significantly, even for Fab fragments originating from the same hum"
thermal denaturation,stability,thermal unfolding,quality_outcome,correlates,2,2,high,we propose to use the measured enthalpy of unfolding as the key parameter to recognize the unfolding events in the melti
domain unfolding,stability,domain unfolding,structure,promotes,2,2,high,"If ... destabilize the Fab fragment with respect to the CH3 domain, the first transition represents the unfolding of the"
manual transportation methods,stress,agitation,stress,induces,2,1,high,Vibration was found to be the main stress associated with manual and vehicle transportation methods
excipients,formulation,phase separation,stability,inhibits,2,2,medium,predicting the effects of excipients on protein association and phase separation
subcutaneous,formulation,high concentration,formulation,requires,2,2,high,"Consequently, high concentrations of active ingredients are needed."
buffers,formulation,protein solutions,stability,modifies,2,2,medium,"This approach appears useful for predicting the effects of excipients on protein association and phase separation, as we"
elution conditions,formulation,hmw species,stability,decreases,2,2,high,determined run conditions for ... reduction of high molecular weight (HMW) species (>50%)
polysorbate degradation,formulation,critical micelle concentration,stability,modifies,2,1,high,CMC was slightly increased upon monoester degradation
disulfide bond,sequence,developability,stability,correlates,2,2,high,"Side-by-side developability assessment of both h1340.CC and h1340.SA.LV indicate that they possess similar, favorable pr"
surface activity,structure,aggregation propensity,stability,correlates,2,2,high,"aggregation propensities correlated well with higher self-interaction, hydrophobicity, and surface activity"
ba.2 and ba.4/ba.5 rbd mutations,sequence,binding activity,quality_outcome,decreases,2,1,high,S309 ... exhibit decreased binding with other subvariants
ba.1 rbd mutations,sequence,binding activity,quality_outcome,binds,2,1,high,S309 ... retain their binding with BA.1
disulfide bond,structure,oxidation,quality_outcome,modifies,2,2,medium,and in the REDOX system are briefly mentioned
salt,formulation,aggregation,stability,inhibits,2,2,high,Salt is required during manufacture to solubilize the mAb product and stabilize it against aggregation.
